iter	RMSE
312	0.5023571742
313	0.5020939394
314	0.5013286974
315	0.5008691271
316	0.5006160676
317	0.500306358
318	0.5001536463
319	0.4998681252
320	0.4996933123
321	0.4992220207
322	0.498906552
323	0.4984465358
324	0.4982898906
325	0.4979413371
326	0.4973971986
327	0.4972505602
328	0.4971371884
329	0.4968583477
330	0.4963965563
331	0.4960866865
332	0.4957314458
333	0.4953528415
334	0.4949221852
335	0.4946459493
336	0.494313051
337	0.4937310744
338	0.493522169
339	0.4929797901
340	0.4925099537
341	0.4921151759
342	0.4917795006
343	0.4914009426
344	0.491045827
345	0.4907613316
346	0.4905804548
347	0.4903428213
348	0.4899702323
349	0.4894343418
350	0.4890848306
351	0.4888859919
352	0.4885368123
353	0.4881693633
354	0.4879613614
355	0.4877889905
356	0.4873875315
357	0.4871993342
358	0.4869444847
359	0.4866867838
360	0.4863449947
361	0.4860539735
362	0.4857563368
363	0.4855047406
364	0.4853130177
365	0.4852135427
366	0.4846762585
367	0.4845039452
368	0.4841921186
369	0.4840638303
370	0.4838752272
371	0.4835599838
372	0.4833110975
373	0.4827492011
374	0.482442896
375	0.4822869216
376	0.4818021292
377	0.4813979333
378	0.480959611
379	0.4807961873
380	0.4804534791
381	0.4802893093
382	0.4800153944
383	0.4796962861
384	0.4793885699
385	0.4789157893
386	0.4785469705
387	0.4782790812
388	0.4781160402
389	0.4780108202
390	0.4777664846
391	0.4776353459
392	0.477224007
393	0.4769676306
394	0.4767722213
395	0.4766543052
396	0.476370583
397	0.4761941525
398	0.4759056519
399	0.4755992492
400	0.4752315554
401	0.475021867
402	0.4748463417
403	0.4745786029
404	0.4745114019
405	0.4740785123
406	0.473970103
407	0.4737397853
408	0.4734244
409	0.4731620075
410	0.4728526119
411	0.4727163902
412	0.4724662039
413	0.4721827091
414	0.4718708298
415	0.4716424274
416	0.4713229525
417	0.47119113
418	0.4710504842
419	0.47084386
420	0.4704433868
421	0.4702393933
422	0.469894773
423	0.4698059531
424	0.4696250193
425	0.469336462
426	0.4691100295
427	0.4688668922
428	0.4686880277
429	0.4685785593
430	0.4682164282
431	0.4680556846
432	0.467949241
433	0.4677405855
434	0.4674038466
435	0.4672131804
436	0.4670443521
437	0.4668520771
438	0.4666388559
439	0.4663270552
440	0.4660211552
441	0.4656925122
442	0.4653723574
443	0.465135242
444	0.4647997556
445	0.4646229076
446	0.4643650396
447	0.4640162236
448	0.4635690377
449	0.4633858198
450	0.4631316023
451	0.4628235213
452	0.4627163804
453	0.4625431391
454	0.4622839808
455	0.4620315291
456	0.4617602725
457	0.4615901984
458	0.4614901183
459	0.4611885037
460	0.460982235
461	0.4608690921
462	0.4607670737
463	0.460491457
464	0.4603715343
465	0.4600893415
466	0.4598305033
467	0.4594142574
468	0.4591994408
469	0.4589021268
470	0.458769359
471	0.4585740099
472	0.4584864033
473	0.458232033
474	0.4579615885
475	0.4578676339
476	0.4577510704
477	0.4576047164
478	0.4574328135
479	0.4572166162
480	0.4569740956
481	0.4566503352
482	0.4565047996
483	0.4562409117
484	0.4561097178
485	0.4559898488
486	0.4558260358
487	0.455533386
488	0.4553461638
489	0.4551425706
490	0.4549259106
491	0.4547605721
492	0.4546389187
493	0.4541113311
494	0.453817856
495	0.4536383344
496	0.4535135008
497	0.4533956072
498	0.4532829192
499	0.4531580688
500	0.4530674829
501	0.4527801536
502	0.4526719493
503	0.4524907036
504	0.4522440739
505	0.4521508444
506	0.4518522718
507	0.4515269243
508	0.4513708574
509	0.4512639099
510	0.45108974
511	0.4507717983
512	0.4505261087
513	0.4503630996
514	0.4502067676
515	0.4501182658
516	0.4497991365
517	0.4495097436
518	0.4493261722
519	0.4489926611
520	0.4487812507
521	0.4485556212
522	0.4484778397
523	0.4482488055
524	0.4480313218
525	0.4478373568
526	0.4476135581
527	0.4474098357
528	0.4471982154
529	0.4470109844
530	0.4467968295
531	0.4465783264
532	0.4464970314
533	0.4462394175
534	0.4461727501
535	0.4459324432
536	0.4457610673
537	0.4455672817
538	0.4452495518
539	0.4450727292
540	0.4448302727
541	0.4446172647
542	0.4444107128
543	0.4441918101
544	0.4439603616
545	0.4436115703
546	0.4433243503
547	0.4432191025
548	0.4430821204
549	0.4429312803
550	0.4428105013
551	0.4427200048
552	0.4424901682
553	0.442387986
554	0.4422217048
555	0.4418512569
556	0.4417054787
557	0.4415820252
558	0.4414784534
559	0.4414150648
560	0.4412610697
561	0.4410091792
562	0.4405469462
563	0.4404066164
564	0.4401814823
565	0.439935472
566	0.4398123514
567	0.4396724893
568	0.4396036936
569	0.439502598
570	0.4393135519
571	0.4390721501
572	0.439012126
573	0.4387497086
574	0.4386980638
575	0.438501369
576	0.4383035598
577	0.4381521416
578	0.4378992007
579	0.4376945695
580	0.4376067847
581	0.4373367492
582	0.4371683386
583	0.4369746401
584	0.4367879206
585	0.4365745002
586	0.4364923121
587	0.4363299075
588	0.4361469456
589	0.4359913543
590	0.4357999418
591	0.4357106977
592	0.4352509656
593	0.4350462407
594	0.4348082345
595	0.4345769484
596	0.4344297113
597	0.4342248646
598	0.4338640461
599	0.4337731414
600	0.4336459006
601	0.4334114492
602	0.4332562952
603	0.4331577979
604	0.4330391812
605	0.4327265632
606	0.4326106578
607	0.4325650656
608	0.432410244
609	0.4321410866
610	0.4319058131
611	0.4317200977
612	0.4312737867
613	0.4310478557
614	0.4309333139
615	0.4307943026
616	0.4302562967
617	0.4301269115
618	0.4299484053
619	0.4297510608
620	0.4296523149
621	0.4294405344
622	0.4292633406
623	0.4290303185
624	0.4288766367
625	0.4286759652
626	0.4285743833
627	0.4283452307
628	0.4281771518
629	0.4280082666
630	0.4277966172
631	0.4276688845
632	0.4274955931
633	0.4273130684
634	0.4272266051
635	0.4271368923
636	0.4270035862
637	0.4268099928
638	0.4267609065
639	0.4267123303
640	0.4265197356
641	0.4263928894
642	0.4261566708
643	0.4260556373
644	0.4259649545
645	0.4258778352
646	0.4257302813
647	0.4255984603
648	0.4254610527
649	0.4252051023
650	0.4250928064
651	0.424795566
652	0.4246377748
653	0.424442043
654	0.4242562363
655	0.4241051838
656	0.4239238279
657	0.4236180739
658	0.4233893338
659	0.4232006288
660	0.4230127925
661	0.4228594283
662	0.4227634477
663	0.4226272121
664	0.4224299636
665	0.4223549741
666	0.4221983966
667	0.4219994406
668	0.4216023637
669	0.4214769588
670	0.4214229694
671	0.4212545281
672	0.4208797209
673	0.420803181
674	0.4205923219
675	0.4204932239
676	0.4203570207
677	0.4201817979
678	0.4201026885
679	0.4200017729
680	0.4197955235
681	0.4196596554
682	0.419544154
683	0.419398224
684	0.4191681246
685	0.4190677473
686	0.4188867413
687	0.4188306452
688	0.418743545
689	0.4185805519
690	0.4184044343
691	0.4182780966
692	0.4181584554
693	0.4179274261
694	0.4177289341
695	0.4175811099
696	0.4173478124
697	0.4171961139
698	0.4170717598
699	0.416772436
700	0.4165476404
701	0.4163953898
702	0.4161707113
703	0.4160559336
704	0.4159198938
705	0.4158776061
706	0.4155974576
707	0.4153903087
708	0.4152292011
709	0.4151255994
710	0.414959909
711	0.4147695847
712	0.4147000665
713	0.4142925856
714	0.4141485317
715	0.4139872358
716	0.4138199535
717	0.4137100935
718	0.413425142
719	0.4133109708
720	0.4132345828
721	0.4130514273
722	0.4128845845
723	0.4127716305
724	0.4126372683
725	0.4124716589
726	0.4122911308
727	0.4121861923
728	0.4120772168
729	0.4119323206
730	0.411741873
731	0.4115872671
732	0.4113949829
733	0.4112066444
734	0.4110139427
735	0.4108746406
736	0.4107446458
737	0.4105115875
738	0.4103784211
739	0.41025045
740	0.4100631158
741	0.4098757806
742	0.4096917872
743	0.4095267765
744	0.409228089
745	0.4091207033
746	0.4089856241
747	0.4087367757
748	0.4085431469
749	0.4084295592
750	0.4083014141
751	0.4081930629
752	0.4080841372
753	0.4080137881
754	0.4079035829
755	0.4077040616
756	0.4075650391
757	0.407360116
758	0.4071919828
759	0.4070905669
760	0.407053275
761	0.4069620665
762	0.4067789432
763	0.4065527087
764	0.4064378306
765	0.4063183608
766	0.4061587185
767	0.4060688449
768	0.4060182933
769	0.4058349971
770	0.4056494435
771	0.405467593
772	0.4053838014
773	0.4052810276
774	0.4050877658
775	0.4050041638
776	0.4047929289
777	0.4046469327
778	0.4045642257
779	0.404335266
780	0.4041856458
781	0.4041319211
782	0.4037646861
783	0.4035885334
784	0.4034568111
785	0.40336467
786	0.4031864717
787	0.4030409612
788	0.4028205948
789	0.402678984
790	0.4025820779
791	0.4024402306
792	0.4023711706
793	0.4022979999
794	0.4021635938
795	0.4020266855
796	0.4019549758
797	0.40178506
798	0.4015587838
799	0.4014043304
800	0.4013624505
801	0.4012467556
802	0.4010468141
803	0.4009019881
804	0.4007345417
805	0.4005481546
806	0.4003683127
807	0.4002484742
808	0.4000791734
809	0.3999297812
810	0.399794349
811	0.3996736631
812	0.3994898272
813	0.3993184189
814	0.399252483
815	0.3991672928
816	0.3990165099
817	0.3987735688
818	0.3985245131
819	0.398379859
820	0.3982399309
821	0.3980657573
822	0.3979057991
823	0.3977879771
824	0.3977343137
825	0.3975014483
826	0.3973819656
827	0.3972427711
828	0.397108374
829	0.3969240639
830	0.3968592005
831	0.3967227847
832	0.396563506
833	0.3964488292
834	0.3963012686
835	0.3962207844
836	0.3961261673
837	0.396040951
838	0.3958595844
839	0.3957842153
840	0.3956864775
841	0.3953364165
842	0.3952262045
843	0.3950455473
844	0.3948683678
845	0.3947708659
846	0.3946708755
847	0.3945122394
848	0.394348125
849	0.3942099852
850	0.3941056227
851	0.3940125843
852	0.3938504924
853	0.3937419155
854	0.3936713755
855	0.3934595272
856	0.393326444
857	0.3931700941
858	0.3930783323
859	0.3929852971
860	0.3928238839
861	0.3927401747
862	0.3926720633
863	0.3925804903
864	0.392420286
865	0.3921681619
866	0.3920645991
867	0.3919338438
868	0.3918350761
869	0.3916407799
870	0.3914924492
871	0.3913020974
872	0.3911643827
873	0.3908491338
874	0.3907798721
875	0.3906688316
876	0.3905919268
877	0.3904171089
878	0.3902997995
879	0.3901840276
880	0.3900874306
881	0.3898988564
882	0.3897381535
883	0.3895463306
884	0.3894103553
885	0.389207133
886	0.3890867657
887	0.3889889365
888	0.3887578001
889	0.3886508538
890	0.3885500083
891	0.388282225
892	0.3880443201
893	0.3878704042
894	0.3875930476
895	0.3875446146
896	0.3873896066
897	0.3872356564
898	0.3870944112
899	0.3869228863
900	0.3866613414
901	0.3865821562
902	0.3864681526
903	0.3863362337
904	0.386192582
905	0.386027324
906	0.3859278288
907	0.3858670086
908	0.385730665
909	0.3855777814
910	0.3854489367
911	0.3852914684
912	0.3851457092
913	0.3850160878
914	0.3849691404
915	0.3847864378
916	0.3847182099
917	0.3845831109
918	0.3844168529
919	0.3842775262
920	0.3841649776
921	0.3839753785
922	0.3836391828
923	0.3834779527
924	0.3833088869
925	0.3831490884
926	0.3830491377
927	0.3829075867
928	0.3827617345
929	0.3826571121
930	0.3825134702
931	0.382353294
932	0.3822137101
933	0.3820728116
934	0.381985764
935	0.3818669562
936	0.3816890428
937	0.3816013272
938	0.381388638
939	0.3812671435
940	0.3811901091
941	0.3810461257
942	0.3809816508
943	0.3808158115
944	0.380717415
945	0.3805923257
946	0.3804655772
947	0.3803963956
948	0.3802553933
949	0.3801412404
950	0.3800298842
951	0.3798950464
952	0.3795399903
953	0.3793776688
954	0.3791954207
955	0.3791331985
956	0.3790430327
957	0.3788229399
958	0.378697127
959	0.3785469641
960	0.3784166945
961	0.3782517544
962	0.3781560378
963	0.3779712593
964	0.3778791839
965	0.3777359753
966	0.3776042797
967	0.3773392292
968	0.377201824
969	0.376942805
970	0.3767862652
971	0.3766360968
972	0.3765015559
973	0.3764155897
974	0.3762989897
975	0.3761975319
976	0.3761026335
977	0.3759618473
978	0.3758079654
979	0.3756607901
980	0.3755940916
981	0.3754558451
982	0.3752422256
983	0.3751254597
984	0.3749745233
985	0.3748765183
986	0.3746254412
987	0.374518704
988	0.3743843012
989	0.3742978397
990	0.3740659131
991	0.3740470329
992	0.3739470679
993	0.3738092811
994	0.3737238953
995	0.3736342055
996	0.3735463653
997	0.3733214545
998	0.3732590787
999	0.3731871669
